0,Attune Foods' Uncle Sam Toasted Whole-Wheat Flakes & Flaxseed (Original),5
1,Barbara's Bakery Peanut Butter Puffins,7
200,Barbara's Bakery Shredded Oats,4
200,Barbara's Bakery Shredded Wheat,9
200,Cascadian Farm Ancient Grains Granola,5
200,Cascadian Farm Fruit & Nut Granola,5
2,General Mills Apple Cinnamon Cheerios,8
3,General Mills Basic 4,4
4,General Mills Cinnamon Toast Crunch,9
5,General Mills Cookie Crisp,3
200,General Mills - Hershey's Cookies 'n' Creme,5
6,General Mills Cocoa Puffs,9
200,General Mills Cocoa Puffs Brownie Crunch,7
200,General Mills Frosted Mini Chex,7
7,General Mills Frosted Toast Crunch,8
200,General Mills Fruity Yummy Mummy (Retro),8
200,General Mills Frute Brute (Retro),8
8,General Mills Golden Grahams,2
9,General Mill's Honey Nut Chex,0
10,General Mills Honey Nut Clusters,7
200,General Mills Ice Cream Cones,9
11,General Mills Kix,5
12,"General Mills Lucky Charms - ""Limited Edition"" with Green Clovers",10
200,General Mills Millenios,6
200,General Mills Multi Grain Cheerios - Dark Chocolate Crunch,8
200,General Mill's Multi-Grain Chex,9
200,General Mills Neopets Islandberry Crunch,7
200,General Mills NesQuik,7
13,General Mills Peanut Butter Toast Crunch,5.5
14,General Mills Reese's Puffs,7.5
200,General Mills Team Cheerios,9
200,General Mills The Return of Frute Brute,5
200,General Mills The Return of Fruity Yummy Mummy,6
200,General Mills Total,7
200,General Mills Total Honey Clusters,2
200,General Mills Total with Strawberries,5
200,General Mills Trix Swirls,10
200,General Mills Uh-Gi-Oh! Cereal,5.5
200,General Mills Wheaties Energy Crunch,8
200,General Mills Wheaties Fuel,7
15,Ralston (General Mills) Corn Chex,4
16,Ralston (General Mills) Rice Chex,4
17,Ralston (General Mills) Wheat Chex,7
18,Kashi Autumn Wheat,8
19,Kashi Berry Blossoms,5
20,Kashi Cinnamon Harvest,7
200,Kashi Golden Goodness,7
21,Kashi GOLEAN Crunch,0
22,Kashi Indigo Mornings,5
23,Kashi Strawberry Fields,6
200,Kellogg's Apple Jacks - Apple Clones,8
200,Kellogg's Barbie Fairytopia Cereal,5
50,Kellogg's Bite-Sized Mini Wheats,8
200,Kellogg's Cars 2,4
51,Kellogg's Cinnabon Crunchy Cinnamon Multi-Grain Cereal,7
24,Kellogg's Cinnamon Jacks,6
200,Kellogg's Cocoa Krispies Choconilla,6
25,Kellogg's Corn Flakes,6
201,Kellogg's Corn Flakes - Touch of Honey,5
26,Kellogg's Crispix,7
200,Kellogg's Crunchy Nut Roasted Nut & Honey Corn & Oat O's,6.5
27,Kellogg's Crunchy Nut Golden Honey Nut (Corn Flakes),7
200,Kellogg's Dr. Seuss' THE CAT IN THE HAT,5
200,Kellogg's Dreamworks Shrek,2
200,Kellogg's Eggo Cereal,5
28,Kellogg's Frosted Flakes Chocolate - Choco Zucaritas,8
200,Kellogg's Frosted Flakes Gold,6
29,Kellogg's Frosted Mini-Wheats Little Bites - Chocolate,5
200,Kellogg's Frosted Mini-Wheats Little Bites - Honey Nut,7
201,Kellogg's Frosted Mini Wheats CRUNCH - Brown Sugar,8
30,Kellogg's Frosted Mini-Wheats - Strawberry Delight,3
31,Kellogg's Frosted Mini Wheats - Touch of Fruit in the Middle - Raspberry,1
200,Kellogg's Frosted Mini Wheats - Vanilla Creme,0
200,Kellogg's Fruit Harvest Apple Cinnamon Cereal,8
200,Kellogg's Fruit Harvest Banana Berry Cereal,8
200,Kellogg's Fruit Harvest Peach Strawberry Cereal,9
200,Kellogg's Fruit Harvest Strawberry Blueberry Cereal,4
200,Kellogg's Hot Wheels Cereal,1
200,Kellogg's Indiana Jones,6
200,Kellogg's Jif Peanut Butter Cereal,7
200,Kellogg's Jumbo Multi-Grain Krispies,0
200,Kellogg's Keebler Cookie Crunch,5
32,Kellogg's Krave (Chocolate),6.5
200,Kellogg's Mini Swirlz Cinnamon Bun,6
200,Kellogg's Mini Swirlz Peanut Butter Blast,7
200,Kellogg's Organic Bite Size Frosted Mini-Wheats,6
200,Kellogg's Pirates of the Caribbean - Dead Man's Chest,7
200,Kellogg's Pops - Chocolate Peanut Butter,8.5
33,Kellogg's Product 19,6
200,Kellogg's Raisin Bran Extra!,6
34,Kellogg's Rice Krispies,6
200,Kellogg's Rocky Mountain Chocolate Cereal,6
35,Kellogg's Scooby-Doo!,2
36,Kellogg's Special K - Chocolatey Strawberry,6
37,Kellogg's Special K - Cinnamon Pecan,5.5
